City,Temperature F,Max Temperature F,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Country,Date,City Id
Lethem,80.73,80.73,3.38,-59.8,80,100,3.4,GY,1598812918,3379316
Fuling,76.48,76.48,29.7,107.39,74,0,3.24,CN,1598812919,1810979
Turbat,87.31,87.31,26.0,63.04,46,89,9.82,PK,1598812919,1163054
Alice Town,84.51,84.51,25.72,-79.3,72,100,10.25,BS,1598812920,3572924
Ust-Nera,43.77,43.77,64.57,143.2,76,100,2.13,RU,1598812920,2120048
Omboué,74.7,74.7,-1.57,9.26,84,100,10.56,GA,1598812921,2396853
Khakhea,47.35,47.35,-24.69,23.49,42,0,9.66,BW,1598812922,933649
Kruisfontein,46.99,46.99,-34.0,24.73,79,99,1.01,ZA,1598812923,986717
Port-Gentil,77.0,77.0,-0.72,8.78,83,75,15.61,GA,1598812765,2396518
Shelby,82.42,84.0,35.2,-89.87,78,40,5.82,US,1598812924,4657046
Todos Santos,83.52,84.0,23.45,-110.22,79,6,5.99,MX,1598812926,3981432
Methven,51.01,51.01,-43.63,171.65,50,100,1.01,NZ,1598812926,2186895
Kānt,79.92,79.92,27.8,79.8,81,8,7.43,IN,1598812926,1267979
Calbuco,48.45,48.45,-41.77,-73.13,71,90,6.2,CL,1598812927,3897334
Alihe,53.29,53.29,50.57,123.72,94,100,2.95,CN,1598812927,2038665
Riyadh,91.4,91.4,24.69,46.72,19,30,3.36,SA,1598812829,108410
Jutaí,91.29,91.29,-5.18,-68.9,48,98,3.29,BR,1598812929,3663693
Baykit,49.91,49.91,61.67,96.37,87,100,2.3,RU,1598812929,1510689
Neuquén,59.0,59.0,-38.95,-68.06,30,0,10.29,AR,1598812930,3843123
Kutum,79.74,79.74,14.2,24.67,55,56,2.06,SD,1598812931,371745
Norman Wells,53.6,53.6,65.28,-126.83,58,75,14.99,CA,1598812929,6089245
Lufilufi,77.0,77.0,-13.87,-171.6,94,20,4.7,WS,1598812932,4035249
Vitim,50.95,50.95,59.45,112.56,87,87,0.96,RU,1598812933,2013375
Bluff,52.2,52.2,-46.6,168.33,63,100,22.73,NZ,1598812896,2206939
Turukhansk,49.53,49.53,65.82,87.98,97,67,4.14,RU,1598812934,1488903
Basco,83.41,83.41,20.45,121.97,81,6,16.31,PH,1598812934,1726449
Chatrapur,83.01,83.01,19.35,84.98,84,100,6.87,IN,1598812935,1274533
Ponta do Sol,73.96,75.2,32.67,-17.1,53,40,16.11,PT,1598812937,2264557
Pochutla,90.0,90.0,15.74,-96.47,66,0,5.99,MX,1598812937,3517970
Balad,97.56,97.56,34.02,44.15,9,0,8.59,IQ,1598812937,98112
Sabzawār,66.25,66.25,36.21,57.68,50,0,9.89,IR,1598812937,118063
Santa Cruz Cabrália,78.8,78.8,-16.28,-39.02,69,20,14.99,BR,1598812938,3450288
Bandarbeyla,77.25,77.25,9.49,50.81,78,100,28.92,SO,1598812939,64814
Bom Jesus,92.91,92.91,-9.07,-44.36,26,84,6.6,BR,1598812939,3405304
Klyuchi,61.45,61.45,52.27,79.17,74,0,5.48,RU,1598812940,1503153
Qinggang,59.68,59.68,46.68,126.08,95,100,8.84,CN,1598812940,2035325
Prince Rupert,53.6,53.6,54.32,-130.32,93,90,11.41,CA,1598812919,6113406
Zottegem,59.67,61.0,50.87,3.81,85,63,3.0,BE,1598812940,2783176
Taloqan,65.57,65.57,36.74,69.53,36,3,2.39,AF,1598812941,1123004
São João da Barra,84.2,84.2,-21.64,-41.05,54,20,20.8,BR,1598812942,3448903
Flin Flon,59.0,59.0,54.77,-101.86,62,75,11.41,CA,1598812943,5954718
Kupang,75.31,75.31,-10.17,123.58,82,0,11.83,ID,1598812944,2057087
Leh,60.57,60.57,34.17,77.58,30,0,4.29,IN,1598812944,1264976
Lindi,70.68,70.68,-10.0,39.72,81,0,4.27,TZ,1598812944,878281
Carballo,63.79,66.2,43.21,-8.69,52,20,10.29,ES,1598812945,3126369
Charters Towers,56.91,56.91,-20.1,146.27,94,1,6.64,AU,1598812945,2171722
Saint-Joseph,64.36,68.0,-21.37,55.62,72,19,5.82,RE,1598812946,6690296
Aleksandrov Gay,69.85,69.85,50.15,48.57,45,3,7.0,RU,1598812947,583345
Calabozo,82.36,82.36,8.92,-67.43,84,100,6.76,VE,1598812947,3647444
Severo-Yeniseyskiy,46.22,46.22,60.37,93.04,96,0,2.19,RU,1598812948,1492566
Evensk,44.62,44.62,61.95,159.23,68,6,8.52,RU,1598812948,2125693
Nyurba,50.67,50.67,63.28,118.33,86,41,4.74,RU,1598812948,2018735
Uray,61.16,61.16,60.12,64.78,93,25,7.81,RU,1598812948,1488429
Port Hardy,55.4,55.4,50.7,-127.42,87,90,10.29,CA,1598812849,6111862
Ariquemes,99.23,99.23,-9.91,-63.04,24,64,2.75,BR,1598812741,3665199
Changji,72.34,75.0,44.02,87.32,45,0,2.24,CN,1598812951,1529569
Japura,73.83,73.83,-0.32,102.35,95,82,2.15,ID,1598812951,1642773
Pauini,94.93,94.93,-7.71,-66.98,37,95,2.06,BR,1598812952,3662927
San Cristobal,87.8,87.8,7.77,-72.22,52,40,11.41,VE,1598812697,3628473
Oussouye,79.75,82.4,12.48,-16.55,94,75,6.93,SN,1598812952,2246901
Darnah,77.88,77.88,32.77,22.64,76,0,12.01,LY,1598812953,87205
Metro,74.53,74.53,-5.11,105.31,93,68,3.29,ID,1598812953,1635283
Kilindoni,76.48,76.48,-7.91,39.67,76,0,14.88,TZ,1598812954,157429
Kapchorwa,58.84,58.84,1.4,34.45,85,34,4.97,UG,1598812954,232235
Coquimbo,60.8,60.8,-29.95,-71.34,63,0,13.87,CL,1598812955,3893629
Hastings,57.69,60.01,50.86,0.57,61,59,1.99,GB,1598812889,2647356
Bowen,57.2,57.2,-20.02,148.23,93,4,3.36,AU,1598812956,2174444
Planeta Rica,84.2,84.2,8.41,-75.59,74,40,2.24,CO,1598812956,3672068
Tezu,77.92,77.92,27.92,96.17,76,100,1.54,IN,1598812956,1254709
Hurghada,84.76,84.76,27.26,33.81,54,0,4.74,EG,1598812957,361291
Shimoda,71.01,71.01,34.67,138.95,93,74,3.47,JP,1598812958,1852357
Kosterevo,63.45,63.45,55.93,39.61,93,0,3.91,RU,1598812958,461720
Rocha,52.29,52.29,-34.48,-54.33,56,88,9.28,UY,1598812958,3440777
Gualaquiza,77.59,77.59,-3.4,-78.55,61,19,3.76,EC,1598812959,3657661
Shalya,57.63,57.63,57.25,58.73,96,100,5.79,RU,1598812960,495915
Omaruru,52.43,52.43,-21.43,15.93,38,0,9.17,NA,1598812961,3354540
Altay,55.18,55.18,47.87,88.12,53,0,2.77,CN,1598812961,1529651
Yulara,57.2,57.2,-25.24,130.99,47,0,5.82,AU,1598812962,6355222
Granja,96.85,96.85,-3.12,-40.83,27,98,11.92,BR,1598812963,3398706
Astoria,61.97,62.6,46.19,-123.83,67,20,8.05,US,1598812963,5711847
Salym,64.09,64.09,60.06,71.48,93,100,5.61,RU,1598812963,1493162
Alakurtti,48.0,48.0,66.97,30.35,89,79,1.99,RU,1598812964,583472
Sapa,82.02,82.02,5.15,120.32,74,32,3.29,PH,1598812964,1687343
Lamont,89.1,90.0,35.26,-118.91,25,1,3.36,US,1598812965,5364916
Mapiripán,89.26,89.26,2.89,-72.13,54,51,6.15,CO,1598812966,3792394
Vágur,51.46,51.46,61.47,-6.81,86,100,10.13,FO,1598812967,2610806
Buraidah,95.0,95.0,26.33,43.98,16,0,6.93,SA,1598812967,107304
Broome,68.86,71.01,42.25,-75.83,56,20,12.75,US,1598812968,5110365
Lesnoy,62.42,62.42,57.62,63.08,89,80,6.53,RU,1598812968,6853140
Sawang Daen Din,80.01,80.01,17.48,103.46,89,100,3.15,TH,1598812970,1606350
Safford,80.6,80.6,32.83,-109.71,57,1,5.39,US,1598812970,5312476
Cayenne,87.8,87.8,4.93,-52.33,66,96,10.29,GF,1598812734,3382160
Balaipungut,75.2,75.2,1.05,101.28,94,20,1.83,ID,1598812971,1650600
Zhenhaicun,82.4,82.4,24.26,118.09,78,21,4.47,CN,1598812971,1784648
San Andrés,83.23,83.23,12.58,-81.7,79,0,14.41,CO,1598812817,3670218
Hunchun,62.26,62.26,42.87,130.36,91,100,4.5,CN,1598812972,2036653
Morón,55.6,57.99,-34.65,-58.62,39,29,6.93,AR,1598812973,3430545
Brønnøysund,49.01,50.0,65.46,12.2,61,20,12.75,NO,1598812974,3159954
Rafaela,62.22,64.0,-31.25,-61.49,24,76,5.99,AR,1598812974,3839479
Lata,69.71,72.0,40.16,-8.33,61,0,5.01,PT,1598812975,2738381
Barreirinha,93.56,93.56,-2.79,-57.07,43,92,0.34,BR,1598812915,3406202
El Alto,66.92,66.92,-4.27,-81.21,74,16,14.81,PE,1598812976,3697441
Hamza,73.4,73.4,40.43,71.5,56,0,2.24,UZ,1598812977,1513650
Santiago de Cao,64.29,64.29,-7.96,-79.24,75,82,14.18,PE,1598812978,3692073
Nacala,72.99,72.99,-14.54,40.67,76,0,7.31,MZ,1598812979,1035025
Ambilobe,70.5,70.5,-13.2,49.05,84,15,4.94,MG,1598812979,1082243
Sosnovo-Ozerskoye,46.42,46.42,52.52,111.54,95,100,6.38,RU,1598812980,2016216
Bloemfontein,39.2,39.2,-29.12,26.21,25,0,3.36,ZA,1598812980,1018725
Barcelos,70.07,72.0,41.54,-8.62,60,0,12.75,PT,1598812981,2742416
Port Macquarie,45.77,46.4,-31.43,152.92,100,0,6.46,AU,1598812982,2152659
Bembèrèkè,70.56,70.56,10.23,2.66,100,100,3.09,BJ,1598812982,2395182
Byron Bay,51.01,54.0,-28.65,153.62,93,1,8.25,AU,1598812983,2172880
Allāpalli,76.89,76.89,19.42,80.07,89,0,1.72,IN,1598812984,1278987
Skibbereen,55.4,55.4,51.55,-9.27,71,40,8.05,IE,1598812984,2961459
Pokrovskoye,74.86,74.86,47.42,38.9,37,0,10.2,RU,1598812985,507427
Pitimbu,82.4,82.4,-7.47,-34.81,61,16,12.75,BR,1598812985,3391889
Emilio Carranza,88.61,88.61,19.97,-96.61,65,65,11.05,MX,1598812986,3514843
Shenzhen,84.72,84.99,22.55,114.07,92,66,3.6,CN,1598812810,1795565
Kamiiso,62.22,62.22,41.82,140.65,90,100,20.04,JP,1598812987,2129766
Skegness,56.01,57.99,53.14,0.34,62,75,8.05,GB,1598812987,2637762
Abaeté,86.97,86.97,-19.16,-45.45,28,23,0.83,BR,1598812988,3473267
Mayo,80.1,82.0,38.89,-76.51,47,1,10.29,US,1598812990,4362001
Portland,61.75,64.99,45.52,-122.68,63,75,4.7,US,1598812648,5746545
Oddur,76.93,76.93,4.12,43.89,67,0,21.47,SO,1598812991,49747
Srednekolymsk,37.51,37.51,67.45,153.68,88,2,5.86,RU,1598812991,2121025
Korla,75.0,75.0,41.76,86.15,62,0,1.99,CN,1598812746,1529376
Muisne,86.0,86.0,0.6,-80.03,74,20,10.29,EC,1598812992,3653967
Arifwala,86.77,86.77,30.29,73.07,63,46,10.74,PK,1598812993,1184370
Shirokiy,52.77,52.77,49.76,129.52,79,100,13.4,RU,1598812993,2016680
Certaldo,70.23,72.0,43.55,11.04,61,59,6.33,IT,1598812994,3179024
Necochea,54.0,54.0,-38.55,-58.74,52,0,8.01,AR,1598812994,3430443
Savannah Bight,84.0,84.0,16.45,-85.85,76,0,20.18,HN,1598812994,3601402
Teknāf,79.92,79.92,20.86,92.31,89,100,2.57,BD,1598812995,1185095
Jaguaribe,96.85,96.85,-5.89,-38.62,22,58,12.55,BR,1598812995,3397675
Arrondissement de Lannion,59.0,59.0,48.75,-3.42,62,0,6.93,FR,1598812996,3007608
Guerrero Negro,80.69,80.69,27.98,-114.06,58,9,9.48,MX,1598812997,4021858
Mount Isa,71.6,71.6,-20.73,139.5,35,0,5.82,AU,1598812997,2065594
Tame,86.97,86.97,6.46,-71.73,57,29,4.92,CO,1598812998,3667478
Acapulco de Juárez,86.0,86.0,16.86,-99.89,70,40,5.82,MX,1598812999,3533462
Kavaratti,82.33,82.33,10.57,72.64,78,100,11.07,IN,1598812999,1267390
Tapes,53.44,53.44,-30.67,-51.4,92,100,11.45,BR,1598812999,3446880
Pedasí,80.8,80.8,7.53,-80.03,76,35,7.07,PA,1598813000,3703239
Dalvik,60.8,60.8,65.97,-18.53,59,75,24.16,IS,1598812912,2632287
Adeje,67.93,75.2,28.12,-16.73,57,20,24.16,ES,1598813001,2522437
Songea,68.0,68.0,-10.68,35.65,64,5,11.41,TZ,1598813001,877401
Nishihara,82.78,84.2,26.18,127.76,88,40,16.11,JP,1598813004,1855342
Hailar,54.07,54.07,49.2,119.7,97,100,7.78,CN,1598813004,2037078
Arrondissement du Havre,59.27,60.8,49.58,0.33,72,75,13.87,FR,1598813005,3013633
Warmbad,46.15,46.15,-28.45,18.73,45,98,4.5,NA,1598813005,3352263
Kununurra,62.6,62.6,-15.77,128.73,22,0,9.75,AU,1598813006,2068110
Taoudenni,99.66,99.66,22.68,-3.98,25,3,8.14,ML,1598813006,2450173
Mizque,76.21,76.21,-17.94,-65.34,31,87,12.28,BO,1598813006,3910291
Gonder,57.36,57.36,12.6,37.47,90,14,4.76,ET,1598813007,336014
Amalāpuram,80.1,80.1,16.58,82.02,87,20,2.21,IN,1598813007,1278935
Mae Ramat,75.67,75.67,16.98,98.52,93,100,0.43,TH,1598813007,1152202
Macheng,74.37,74.37,31.18,115.03,90,0,3.36,CN,1598812821,1801582
Marquette,63.27,64.99,46.53,-87.63,70,32,3.0,US,1598813008,5000950
Caravelas,78.21,78.21,-17.71,-39.25,71,0,9.13,BR,1598813008,3466980
Nouadhibou,78.8,78.8,20.93,-17.03,65,0,21.92,MR,1598813008,2377457
Markova,73.2,73.4,48.68,24.41,78,72,2.24,UA,1598813009,701802
San Patricio,86.0,86.0,19.22,-104.7,89,90,11.41,MX,1598813010,3985168
Maebaru-chūō,81.25,82.99,33.55,130.2,83,20,1.12,JP,1598813010,1857844
Totoró,61.14,61.14,2.51,-76.4,75,98,0.76,CO,1598813012,3666834
Pangnirtung,46.4,46.4,66.15,-65.71,81,20,9.17,CA,1598813012,6096551
Belmonte,78.8,78.8,-15.86,-38.88,69,20,14.99,BR,1598813013,3470137
Levice,79.99,82.0,48.22,18.61,59,100,1.01,SK,1598812729,3059101
Linda,79.16,80.01,39.13,-121.55,41,1,4.7,US,1598813014,5366531
Biograd na Moru,75.6,75.99,43.94,15.45,88,40,5.82,HR,1598813015,3204121
Pacific Grove,62.62,66.2,36.62,-121.92,63,1,5.06,US,1598813008,5380437
Padang,77.77,77.77,-0.95,100.35,81,100,4.85,ID,1598812873,1633419
Muhafazat Lahij,94.3,94.3,13.17,44.58,34,63,3.18,YE,1598813016,6201197
Muromtsevo,58.95,58.95,56.37,75.24,91,81,5.61,RU,1598813016,1498205
Coahuayana Viejo,77.0,77.0,18.73,-103.68,83,90,3.98,MX,1598813017,4013679
Lincoln,80.6,82.0,40.8,-96.67,47,1,13.87,US,1598813003,5072006
Toamasina,69.8,69.8,-18.17,49.38,94,75,5.7,MG,1598813017,1053384
Polovinnoye,67.87,67.87,54.79,65.99,66,69,6.44,RU,1598813018,1494523
Khani,71.6,71.6,41.96,42.96,88,0,3.36,GE,1598813019,610864
Kitui,66.34,66.34,-1.37,38.01,73,4,11.81,KE,1598813020,191038
Yeppoon,59.0,59.0,-23.13,150.73,87,0,5.82,AU,1598813020,2142316
Mahanoro,68.0,68.0,-19.9,48.8,88,17,1.45,MG,1598813021,1062553
Bubaque,80.53,80.53,11.28,-15.83,82,100,18.39,GW,1598813021,2374583
Dalaba,63.84,63.84,10.7,-12.25,100,100,5.3,GN,1598813022,2422383
Dzaoudzi,75.2,75.2,-12.79,45.27,83,0,8.05,YT,1598813024,921900
Faya,77.9,78.8,18.39,42.45,17,74,17.22,SA,1598813024,110690
Synya,49.5,49.5,65.37,58.04,98,100,3.83,RU,1598813025,485215
Camacha,73.4,73.4,33.08,-16.33,64,40,14.99,PT,1598813025,2270385
Nobres,106.59,106.59,-14.72,-56.33,10,0,6.02,BR,1598813026,3456277
Mungaa,66.52,66.52,-4.97,34.88,43,0,10.33,TZ,1598813026,152546
Henderson,95.56,97.0,36.04,-114.98,30,1,11.41,US,1598812784,5505411
Nicoya,89.6,89.6,10.15,-85.45,59,40,8.05,CR,1598813028,3622716
Nichinan,78.01,78.01,31.6,131.37,88,2,1.01,JP,1598813028,1855476
Pakokku,84.58,84.58,21.33,95.1,72,100,8.46,MM,1598813029,1302439
Mpophomeni,48.99,48.99,-29.57,30.19,90,100,3.33,ZA,1598813029,973139
Sibolga,75.96,75.96,1.74,98.78,83,100,3.33,ID,1598813030,1213855
Kabare,64.94,64.94,-2.47,28.82,75,40,2.44,CD,1598813030,215605
Mandera,85.32,85.32,3.94,41.87,45,0,17.9,KE,1598813031,187896
Sioux Lookout,68.0,68.0,50.1,-91.92,60,75,6.93,CA,1598812902,6148373
Larsnes,50.94,55.4,62.2,5.58,58,20,10.29,NO,1598813032,3148133
Ishigaki,83.98,83.98,24.34,124.16,79,0,20.02,JP,1598813032,1861416
Camocim,90.61,90.61,-2.9,-40.84,41,98,20.94,BR,1598813033,3403687
Miandrivazo,76.68,76.68,-19.52,45.47,66,0,1.61,MG,1598813034,1059051
Yamada,69.55,69.55,39.47,141.95,91,100,7.94,JP,1598813035,2110560
Hambantota,80.89,80.89,6.12,81.12,80,100,16.15,LK,1598813035,1244926
Kirensk,54.01,54.01,57.79,108.11,75,93,1.43,RU,1598813035,2022083
La Romana,91.4,91.4,18.43,-68.97,63,40,6.93,DO,1598813037,3500957
Virginia Beach,83.82,86.0,36.85,-75.98,45,20,4.7,US,1598812984,4791259
Mumford,74.57,74.57,5.26,-0.76,87,100,10.65,GH,1598813038,2297810
Alta Floresta,98.6,98.6,-9.88,-56.09,30,20,3.36,BR,1598813038,6316343
Sørland,48.2,48.2,67.67,12.69,66,40,5.82,NO,1598813038,3137469
Jiazi,80.24,80.24,22.88,116.07,87,68,8.88,CN,1598813039,1805935
Misratah,81.34,81.34,32.38,15.09,72,0,15.14,LY,1598812854,2214846
Ibicaraí,82.4,82.4,-14.87,-39.59,69,40,11.41,BR,1598813040,3461606
Provideniya,47.5,47.5,64.38,-173.3,71,96,21.36,RU,1598813040,4031574
Ginda,64.2,64.2,30.69,78.49,88,6,1.92,IN,1598813040,1253628
Enumclaw,62.96,64.99,47.2,-121.99,66,0,1.01,US,1598813041,5793822
Lysyye Gory,62.64,62.64,51.55,44.84,53,0,0.81,RU,1598813041,532664
Diré,77.11,77.11,12.28,-10.97,90,100,1.03,ML,1598813042,2458624
Buritizeiro,93.24,93.24,-17.35,-44.96,19,73,5.23,BR,1598813043,3468720
Belyy Yar,50.0,50.0,53.6,91.39,93,29,2.55,RU,1598813044,1510377
Bukachacha,50.61,50.61,52.98,116.92,92,100,2.84,RU,1598813044,2026023
Seymchan,34.93,34.93,62.88,152.43,86,0,3.4,RU,1598813046,2121373
Porosozero,47.23,47.23,62.72,32.73,83,87,3.98,RU,1598813047,506232
Umm Kaddadah,88.99,88.99,13.6,26.69,42,93,11.43,SD,1598813047,364933
Saint George,89.6,89.6,37.1,-113.58,21,1,5.82,US,1598812896,5546220
Vicuña,60.8,60.8,-30.03,-70.71,63,0,13.87,CL,1598813049,3868308
Djambala,74.75,74.75,-2.54,14.75,74,100,3.13,CG,1598813049,2260401
Glasgow,57.29,57.99,55.87,-4.26,71,69,5.82,GB,1598812888,2648579
Tautira,78.39,78.8,-17.73,-149.15,61,20,5.82,PF,1598813050,4033557
Mayumba,73.98,73.98,-3.43,10.66,86,70,7.85,GA,1598813050,2399001
Psebay,63.09,63.09,44.12,40.81,55,0,5.37,RU,1598813051,504391
Kitgum,68.25,68.25,3.28,32.89,88,37,2.42,UG,1598813052,230893
Kiunga,72.5,72.5,-6.12,141.29,98,94,1.34,PG,1598813052,2093846
Kumul,70.14,70.14,42.8,93.45,23,0,5.84,CN,1598813054,1529484
Mamaku,50.56,53.01,-38.1,176.08,91,79,1.01,NZ,1598813055,2187834
Kalabo,73.06,73.06,-14.97,22.68,46,43,5.55,ZM,1598813056,915471
